split,alpha,rerank_topk,t2i_R@1,t2i_R@5,t2i_R@10,i2t_R@1,i2t_R@5,i2t_R@10,mean_recall
val,0,100,74.47731755424063,92.32741617357001,95.56213017751479,88.06706114398422,97.33727810650888,98.61932938856016,91.06508875739644
val,0.05,100,74.45759368836292,92.24852071005917,95.54240631163708,87.96844181459566,97.2386587771203,98.61932938856016,91.01249178172255
val,0.1,100,74.67455621301775,92.2879684418146,95.54240631163708,87.77120315581854,97.2386587771203,98.61932938856016,91.0223537146614
val,0.2,100,74.37869822485207,92.09072978303747,95.54240631163708,87.57396449704143,97.2386587771203,98.91518737672584,90.95660749506904
val,0.3,100,74.14201183431952,91.91321499013807,95.60157790927022,87.3767258382643,97.2386587771203,98.81656804733728,90.8481262327416
val,0.005,100,74.45759368836292,92.3076923076923,95.52268244575937,88.06706114398422,97.33727810650888,98.61932938856016,91.05193951347798
val,0.01,100,74.41814595660749,92.2879684418146,95.52268244575937,88.06706114398422,97.33727810650888,98.61932938856016,91.04207758053911
val,0.02,100,74.39842209072978,92.24852071005917,95.52268244575937,88.06706114398422,97.33727810650888,98.61932938856016,91.03221564760025
val,0.03,100,74.39842209072978,92.26824457593689,95.54240631163708,87.96844181459566,97.33727810650888,98.61932938856016,91.0223537146614
